asset_id,canonical_name,aliases,development_codes,target,payload,linker,indication,company,clinical_phase,adc_scope,catalog_status,source_count,sources,nct_ids,date_added_to_table
NAR_DRG0ICSRW,CHB-111,,,,,,,,Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0IDOUS,MK-6204,,,,,,,,Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,NCT06726369,2026-09-01
NAR_DRG0IDRYV,LCB-67,Anti-DLK1 ADC; MMAE-anti-DLK1; PYX 202; DLK1-MMAE; LCB67; LCB 67; PAY-202; PAY202,,Protein delta homolog 1 (DLK1),,,,"LegoChem Biosciences, Inc",Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0IITIR,EX107,EX 107; EX-107,,T-cell surface glycoprotein CD3 delta chain (CD3D); Programmed cell death protein 1 (PDCD1),,,,Excelmab Inc,Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0IJSIT,MG2106E,MG2106E (Shanghai MabGen Biotech); MG-2106E; MG 2106E,,Undisclosed,,,,Shanghai MabGen Biotech Ltd; Shanghai Meijing Science & Technology Co. Ltd,Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0IMAKZ,Mecbotamab vedotin,BA 3011; BA3011; CAB-AXL-ADC; CAB-Axl antibody-drug conjugates; HTBA-3011; HTBA3011; Mecbotamab Vedotin; Mecbotamab vedotin,,Tyrosine-protein kinase receptor UFO (AXL),,,,"BioAtla, Inc",Phase 1/2,PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; conference_abstract_corpus,NCT03425279; NCT04681131,2026-09-01
NAR_DRG0INCQV,DXC-003,DXC003; DXC 003,,Tumor-associated calcium signal transducer 2 (TROP2),,,,"Hangzhou DAC Biotech Co., Ltd",Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0INYKO,BCMA-077,BCMA 077; BCMA077,,Tumor necrosis factor receptor superfamily member 17 (TNFRSF17),,,,"Sorrento Therapeutics, Inc",Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0IOMGE,JNJ-89862175,,,,,,,,Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,NCT07223125,2026-09-01
NAR_DRG0IOSTB,PLB-002,,,,,,,,Phase 1,PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; clinicaltrials,NCT07304128,2026-09-01
NAR_DRG0IPCHO,TAK-164,TAK 164; TAK-164; TAK164,,Guanylyl cyclase C (GUCY2C),,,,"ImmunoGen, Inc; Takeda Pharmaceutical Co., Ltd",Phase 1 (Terminated),PRESUMED_ADC,MULTISOURCE_CONFIRMED,4,nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc,NCT03449030,2026-09-01
NAR_DRG0IQKOR,CON-4619,Aurixim; CON-4619; Rituximab conjugate (BioIntegrator LLC),,B-lymphocyte antigen CD20 (MS4A1),,,,BioIntegrator LLC,Phase 1 (Terminated),REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,NCT03057418,2026-09-01
