asset_id	canonical_name	aliases	development_codes	modality	adc_scope	target	company	highest_stage	development_status	nct_ids	first_seen	last_seen	sources	source_count	evidence_ids	catalog_status
NAR_DRG0CNJHC	JK-06	JK 06; JK-06; JK06			REFERENCE_UNCLASSIFIED	Trophoblast glycoprotein (TPBG)	Salubris Biotherapeutics, Inc	Phase2	Phase 1/2				nar_reference	1	DRG0CNJHC	REFERENCE_CONFIRMED
NAR_DRG0CNWMR	ABBV-901				REFERENCE_UNCLASSIFIED			Phase1	Phase 1	NCT07278336			nar_reference	1	DRG0CNWMR	REFERENCE_CONFIRMED
NAR_DRG0COMTY	Telisotuzumab vedotin	ABBV 399; ABBV-399; ABBV399; ABT 399; ABT-399; Teliso-V; Teliso-V (ABBV-399); Telisotuzumab vedotin		PRESUMED_STRICT_ADC	PRESUMED_ADC	Hepatocyte growth factor receptor (MET)	AbbVie, Inc; BSP Pharmaceuticals SpA	Approved	Approved (FDA): May, 2025	NCT00723359; NCT01001442; NCT01270698; NCT01472016; NCT01605318; NCT01638936; NCT01915472; NCT02099058			nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc	4	DRG0COMTY; ADC_CANDIDATE_ADC_SUFFIX_8e37de9e1d6b	MULTISOURCE_CONFIRMED
NAR_DRG0CPNIE	DS6-DM1	DS6DM1; DS6 DM1			REFERENCE_UNCLASSIFIED	Mucin-1 (MUC1)	ImmunoGen, Inc	Investigative	Investigative				nar_reference	1	DRG0CPNIE	REFERENCE_CONFIRMED
NAR_DRG0CRDKL	HKT-288	HKT 288; HKT-288; HKT28 8, NOV-13; HKT288; NOV-13		PRESUMED_STRICT_ADC	PRESUMED_ADC	Cadherin-6 (CDH6)	Novartis Pharma AG; Novartis AG	Phase1	Phase 1 (Terminated)	NCT02947152			nar_reference; europe_pmc	2	DRG0CRDKL; ADC_SUFFIX_0405ab1a3760	MULTISOURCE_CONFIRMED
NAR_DRG0CRYVT	DP-303c	DP 303c; DP-303c; DP303c		PRESUMED_STRICT_ADC	PRESUMED_ADC	Receptor tyrosine-protein kinase erbB-2 (HER2)	CSPC Zhongqi Pharmaceutical Technology Shijiazhuang Co., Ltd; CSPC Pharmaceutical Group Ltd	Phase3	Phase 3	NCT04146610; NCT04826107; NCT04828616; NCT05334810			nar_reference; europe_pmc; pubmed	3	DRG0CRYVT; ADC_SUFFIX_3a6f2b8624de	MULTISOURCE_CONFIRMED
NAR_DRG0CVTZD	MG2011C	MG2011C (Shanghai MabGen Biotech); MG-2011C; MG 2011C			REFERENCE_UNCLASSIFIED	Undisclosed	Shanghai MabGen Biotech Ltd; Shanghai Meijing Science & Technology Co. Ltd	Investigative	Investigative				nar_reference	1	DRG0CVTZD	REFERENCE_CONFIRMED
NAR_DRG0CWADI	AZD-9592			PRESUMED_STRICT_ADC	PRESUMED_ADC			Phase1	Phase 1				nar_reference; conference_abstract_corpus	2	DRG0CWADI; ADC_SUFFIX_d9c6c6782529	MULTISOURCE_CONFIRMED
NAR_DRG0CXFTH	Serclutamab talirine	ABBV 321; ABBV-321; ABBV321; Serclutamab talirine		PRESUMED_STRICT_ADC	PRESUMED_ADC	Epidermal growth factor receptor (EGFR)	AbbVie, Inc	Phase1	Phase 1 (Terminated)	NCT03234712			nar_reference; conference_abstract_corpus; europe_pmc	3	DRG0CXFTH; ADC_SUFFIX_b77aa50a6833	MULTISOURCE_CONFIRMED
NAR_DRG0CXRVR	JSKN022			PRESUMED_STRICT_ADC	PRESUMED_ADC			Phase1	Phase 1	NCT07292402			nar_reference; conference_abstract_corpus	2	DRG0CXRVR; ADC_SUFFIX_293d63130f18	MULTISOURCE_CONFIRMED
