canonical_name	aliases	development_codes	target	company	highest_stage	development_status	nct_ids	adc_scope	catalog_status	sources
SC-007	SC 007; SC-007; SC007		Undisclosed	Stemcentrx, Inc; AbbVie, Inc	Phase1	Phase 1 (Terminated)	NCT03253185	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
RN765C	RN 765C; RN-765C		Epidermal growth factor receptor (EGFR)	Rinat Neuroscience Corp	Investigative	Investigative		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
GMA-305	GMA305; GMA 305		Undisclosed	Gmax Biopharm LLC	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
CUSP06	AMT 707; AMT-707; AMT707; CUSP 06; CUSP-06; CUSP06		Cadherin-6 (CDH6)	Multitude Therapeutics, Inc; OnCusp Therapeutics	Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
IMGS-501	STING-ISAC; IMGS 501; IMGS501		Programmed cell death 1 ligand 1 (CD274); Programmed cell death 1 ligand 2 (PDCD1LG2)	Immunogenesis, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
LY3343544	LY-3343544; LY 3343544		Hepatocyte growth factor receptor (MET)	Eli Lilly & Co	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
LCB14-15nm	LCB14 15nm		Undisclosed	LegoChem Biosciences, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
SIM 0686					Phase1	Phase 1	NCT07050459	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
CAT-03-106	CAT03106; CAT 03 106		Undisclosed	Catalent, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Cetuximab sarotalocan	ASP-1929; RM-1929; Cetuximab-IR700; Cetuximab Sarotalocan Sodium		Epidermal growth factor receptor (EGFR)	Rakuten Medical, Inc	Approved	Approved (FDA): Sep, 2020		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
IBI3009					Phase1	Phase 1	NCT06613009	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Lintuzumab Ac-225	225Ac-HuM-195; 225Ac-HuM195; 225Ac-lintuzumab; AC225 MOAB M195; AC225-MOAB-M195; Ac-225-Lintuzumab; Ac225 monoclonal antibody M195; Actimab-A; Actimab-M; Actimab-MDS; Actinium (225ac) lintuzumab satetraxetan; Actinium AC 225 lintuzumab; Actinium AC-225 lintuzumab; Actinium-225 (225Ac)-Lintuzumab; Actinium-225-labeled humanized anti-cd33 monoclonal antibody HUM195; Actinium-225-labelled HuM195; HUM-195 AC-225; HuM195-Ac-225; Lintuzumab Ac-225; Lintuzumab actinium Ac-225; Lintuzumab satetraxetan AC-225		Myeloid cell surface antigen CD33 (CD33)	PDL BioPharma, Inc; Actinium Pharmaceuticals, Inc	Phase1	Phase 1 (Terminated)	NCT02575963; NCT02998047; NCT03441048; NCT03867682; NCT03932318	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
DXC-008					Phase1	Phase 1	NCT06926283	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
BAT-8006					Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
DAC-005					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
SBT-8230	SBT8230; SBT 8230; Asgr1-Tlr8; Asgr1-Tlr8-S; ASGR1-TLR8 ImmunoTAC conjugate		Asialoglycoprotein receptor 1 (ASGR1)	Silverback Therapeutics, Inc; ARS Pharmaceuticals, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
CME-548	CME-548 (Oxford Biomedica Plc)		Trophoblast glycoprotein (TPBG)	Oxford Biomedica Plc; Pfizer Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BL-M07D1	BL M07D1; BL-M07D1; BLM07D1		Receptor tyrosine-protein kinase erbB-2 (HER2)	Sichuan Baili Pharmaceutical Co., Ltd; Systimmune, Inc; Chengdu Bailidote Biological Pharmaceutical Co., Ltd	Phase3	Phase 3	NCT05461768; NCT05631964	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
SYN-101	SYN101; SYN 101		Transforming growth factor beta-1 proprotein (TGFB1)	Synthis LLC	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
