indication	n_nar_assets
Phase 3 Clinical Trial Myelodysplastic syndrome	1
Phase 3 Clinical Trial Drug-to-Antibody Ratio 2 to 3 3D	1
Pancreatic cancer Clinical candidate Drug-to-Antibody Ratio 2 3D	1
Angiosarcoma	1
Prostate cancer Clinical candidate Drug-to-Antibody Ratio 3-5	1
Pleural mesothelioma Clinical candidate	1
Hodgkin lymphoma	1
Approved Approval Document Mycosis fungoides	1
Phase 3 Clinical Trial Unspecific non-hodgkin lymphoma	1
Phase 3 Clinical Trial Acute lymphoblastic leukemia	1
Phase 2 Clinical Trial Graft-versus-host disease	1
Phase 2 Clinical Trial Lupus erythematosus	1
Phase 2 Clinical Trial Lymphomatoid papulosis	1
Phase 2 Clinical Trial Mastocytosis	1
Phase 2 Clinical Trial Sezary syndrome	1
Phase 2 Clinical Trial Systemic sclerosis	1
Mycosis fungoides	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.37 3D	1
Neutropenia Clinical candidate	1
Lung cancer Clinical candidate Ovarian cancer Clinical candidate Triple negative breast cancer Clinical candidate	1
Colorectal cancer Clinical candidate	1
Acute lymphoblastic leukemia Clinical candidate Acute myeloid leukaemia Clinical candidate B-cell lymphoma Clinical cand	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.5 to 3.8	1
Ovarian cancer Phase 2 Research Article Drug-to-Antibody Ratio 2 to 3 3D	1
Antibody Name: Sacituzumab	1
Solid tumors Clinical candidate Drug-to-Antibody Ratio 2	1
Bacteremia	1
Degenerative diseases Clinical candidate	1
Non Hodgkin lymphoma Clinical candidate Drug-to-Antibody Ratio 2 3D	1
Nasopharyngeal carcinoma Clinical candidate	1
Burkitt lymphoma Clinical candidate Multiple myeloma Clinical candidate 3D	1
Melanoma Clinical candidate Triple negative breast cancer Clinical candidate	1
Crohn disease	1
Phase 2 Clinical Trial Rheumatoid arthritis	1
Investigative Drug-to-Antibody Ratio 1	1
Phase 2 Clinical Trial Drug-to-Antibody Ratio 3.2 3D	1
Solid tumors Clinical candidate Drug-to-Antibody Ratio 15 3D	1
Gastrointestinal stromal cancer	1
Investigative Gastric cancer	1
Investigative Drug-to-Antibody Ratio 5	1
Investigative Drug-to-Antibody Ratio 1.6	1
Facioscapulohumeral muscular dystrophy Clinical candidate Muscular dystrophy Clinical candidate	1
Approved Approval Document Amyloidosis	1
Phase 2 Clinical Trial Immune thrombocytopenic purpura	1
Head and neck cancer Clinical candidate Breast cancer	1
Glaucoma Clinical candidate Macular degeneration Clinical candidate	1
Gastric cancer Clinical candidate Non-small cell lung cancer Clinical candidate	1
Colon cancer Clinical candidate Head and neck cancer Clinical candidate	1
Antibody Name: Basiliximab	1
Metastatic breast cancer Clinical candidate	1
Phase 1 Clinical Trial Mantle cell lymphoma	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 7.6 3D	1
Head and neck cancer Clinical candidate Drug-to-Antibody Ratio 1 3D	1
Alzheimer disease	1
Investigative Cerebral amyloid angiopathy	1
Investigative Diabetic retinopathy	1
Investigative Glaucoma	1
Approved Approval Document Endometrial cancer	1
Mature T-cell lymphoma	1
Epithelial ovarian cancer	1
Investigative Drug-to-Antibody Ratio 4.26 3D	1
Pancreatic cancer Clinical candidate Drug-to-Antibody Ratio 4 3D	1
Epidermoid cancer	1
Investigative Triple negative breast cancer (	1
Osteosarcoma Clinical candidate	1
Ewing sarcoma Clinical candidate 3D	1
Gastric cancer Clinical candidate Non-small cell lung cancer Clinical candidate Pancreatic cancer Clinical candidate Dru	1
Phase 2 Clinical Trial Drug-to-Antibody Ratio 3.5 3D	1
Approved Approval Document Hodgkin lymphoma	1
Muscular disease (	1
Breast cancer Clinical candidate Drug-to-Antibody Ratio 1.8 3D	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 10	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 7 to 8	1
Mantle cell lymphoma	1
Phase 2 Clinical Trial Chronic myeloid leukemia	1
Phase 2 Clinical Trial Rhabdomyosarcoma	1
Phase 1 Clinical Trial Merkel cell carcinoma	1
Phase 1 Clinical Trial Multiple myeloma	1
Precursor B-lymphoblastic neoplasms Clinical candidate	1
Investigative Cholangiocarcinoma	1
Investigative Colon adenocarcinoma	1
Investigative Drug-to-Antibody Ratio 3	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 4.6 3D	1
Phase 3 Clinical Trial Oral cavity cancer	1
Urothelial cancer Phase 1 Related Report Drug-to-Antibody Ratio Undisclosed	1
Breast cancer Clinical candidate Colorectal cancer Clinical candidate Gastric cancer Clinical candidate Non-small cell l	1
Bladder cancer Clinical candidate Lung cancer Clinical candidate Pancreatic cancer Clinical candidate Triple negative br	1
Solid tumors Clinical candidate Drug-to-Antibody Ratio 8	1
Graft-versus-host disease	1
Approved Approval Document Unspecific non-hodgkin lymphoma	1
Phase 2 Clinical Trial Drug-to-Antibody Ratio 6 3D	1
Phase 3 Clinical Trial Head and neck cancer	1
Gastric cancer Clinical candidate Pancreatic cancer Clinical candidate Prostate cancer Clinical candidate	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 2.8 3D	1
Phase 3 Clinical Trial Drug-to-Antibody Ratio 4	1
Approved Approval Document Follicular lymphoma	1
Duchenne muscular dystrophy Clinical candidate Muscular dystrophy Clinical candidate	1
Brain medulloblastoma Clinical candidate Pleural mesothelioma Clinical candidate	1
Multiple myeloma Clinical candidate	1
Brain cancer Clinical candidate Glioblastoma Clinical candidate	1
Pancreatic cancer Clinical candidate Platinum resistant ovarian cancer Clinical candidate 3D	1
Solid tumor Phase 1 Related Report Drug-to-Antibody Ratio Undisclosed	1
Investigative Drug-to-Antibody Ratio 7.8 3D	1
HIV Infection Clinical candidate	1
Non-small cell lung cancer Clinical candidate 3D	1
Hairy cell leukemia	1
Phase 2 Clinical Trial Prolymphocytic leukemia	1
Breast cancer Clinical candidate Gastric cancer Clinical candidate	1
Neoplasms (	1
Breast cancer Clinical candidate Drug-to-Antibody Ratio 2 3D	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 3	1
B-cell chronic lymphocytic leukemia Clinical candidate Breast cancer Clinical candidate Castration-resistant prostatic c	1
Acute myeloid leukaemia Clinical candidate Arteriosclerosis Clinical candidate Bone marrow transplant rejection Clinical	1
Phase 1 Clinical Trial Hairy cell leukemia	1
Phase 1 Clinical Trial Prolymphocytic leukemia	1
Crohn disease Clinical candidate Psoriasis Clinical candidate Rheumatoid arthritis Clinical candidate Sepsis Clinical ca	1
Phase 3 Clinical Trial Drug-to-Antibody Ratio 2 3D	1
Solid tumors Clinical candidate Drug-to-Antibody Ratio 4.6 3D	1
Investigative Glioblastoma	1
Investigative Hepatocellular carcinoma	1
Investigative Drug-to-Antibody Ratio 1.9 3D	1
Lung cancer Clinical candidate Ovarian cancer Clinical candidate Drug-to-Antibody Ratio 2	1
Breast cancer Clinical candidate Colorectal cancer Clinical candidate Pancreatic cancer Clinical candidate	1
Colon cancer Clinical candidate Head and neck cancer Clinical candidate Lung cancer Clinical candidate	1
Castration resistant prostate cancer Clinical candidate Drug-to-Antibody Ratio 60-70 3D	1
Macular degeneration Clinical candidate	1
Glioblastoma Clinical candidate Melanoma Clinical candidate	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 4.0 to 4.2	1
Prostate cancer (	1
Nasopharyngeal cancer	1
Non-small cell lung cancer Clinical candidate Triple negative breast cancer Clinical candidate	1
Ovarian cancer Clinical candidate 3D	1
Hepatocellular carcinoma	1
Glioblastoma Clinical candidate Small cell lung cancer Clinical candidate	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 2.5 3D	1
Multiple myeloma (	1
Phase 2 Clinical Trial Drug-to-Antibody Ratio 3.5 to 4.5 3D	1
Bacterial infections Clinical candidate	1
Glioblastoma Clinical candidate 3D	1
Breast cancer Clinical candidate Glioblastoma Clinical candidate	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.5	1
Antibody Name: Veltuzumab	1
Phase 1 Clinical Trial Drug-to-Antibody Ratio 4.5 3D	1
Phase 2 Clinical Trial Mantle cell lymphoma	1
Triple negative breast cancer Clinical candidate 3D	1
Myxofibrosarcoma Clinical candidate	1
Alcoholic hepatitis	1
Phase 2 Clinical Trial Motor neuron disease	1
Acute myeloid leukaemia Clinical candidate Hodgkin lymphoma Clinical candidate 3D	1
Breast cancer Clinical candidate Gastric cancer Clinical candidate Ovarian cancer Clinical candidate	1
