entity_id	canonical_name	entity_type	synonyms	n_adc_backlinks	adc_backlink_names	adc_backlink_ids	source_url
TAR0OUZAI	Endoplasmic reticulum chaperone BiP (HSPA5)	ADC_TARGET	78 kDa glucose-regulated protein;Binding-immunoglobulin protein; Heat shock protein 70 family protein 5; Heat shock protein family A member 5;Immunoglobulin heavy chain-binding protein	1	GD17-PE40		https://adcdb.idrblab.net/data/abt/details/TAR0OUZAI
TAR0FBZTE	Endosialin (CD248)	ADC_TARGET	CD164L1; TEM1; Tumor endothelial marker 1;CD_antigen=CD248	6	Anti-endosialin-Mc-Val-Cit-PABC-MMAE; DRG0CKSTC; ENDOS/ADC; IgG78-DM1; TEM1 Clone 187 A114N-Mc-Val-Cit-PABC-MMAE; TEM1 Clone 187 WT-Mc-Val-Cit-PABC-MMAE		https://adcdb.idrblab.net/data/abt/details/TAR0FBZTE
TAR0PMEFN	Endothelin receptor type B (EDNRB)	ADC_TARGET	ETRB; Endothelin receptor non-selective type	1		DRG0AQITP	https://adcdb.idrblab.net/data/abt/details/TAR0PMEFN
TAR0ZLIBG	Envelope glycoprotein D (Gd)	ADC_TARGET	US6	3	Alpha-Ly6E-LC-K149C-10; Alpha-gD-LC-K149C-12; DRG0FGYJG		https://adcdb.idrblab.net/data/abt/details/TAR0ZLIBG
TAR0DIACT	Envelope glycoprotein gp160 (env); Envelope glycoprotein gp41 (env)	ADC_TARGET		1	DL35D-DM1		https://adcdb.idrblab.net/data/abt/details/TAR0DIACT
TAR0SWIMV	Envelope glycoprotein gp160 (env)	ADC_TARGET	Env polyprotein	7	B12-PEG-G2-DOX; B12-PEG-G4-DOX; B12-PEG-G5-DOX; B12-SG3249; BAT123-PAP-S; DRG0NFKRP; MD1.22-DM1		https://adcdb.idrblab.net/data/abt/details/TAR0SWIMV
TAR0GFSKS	Ephrin type-A receptor 2 (EPHA2)	ADC_TARGET	ECK; Epithelial cell kinase;Tyrosine-protein kinase receptor ECK	76		DRG0ADHVC; DRG0ANWTK; DRG0CCQWD; DRG0CPVBW; DRG0DKLKP; DRG0DLAML; DRG0DWUZV; DRG0EGAPU; DRG0EJCGT; DRG0ETBJI; DRG0FAPPA; DRG0FBCUQ; DRG0FFHZF; DRG0FOWLI; DRG0FUNSR; DRG0GEORE; DRG0GFWIE; DRG0GJODM; DRG0GJWVL; DRG0GOBXP; DRG0HCDAC; DRG0HGVMV; DRG0HZLPD; DRG0IWCIP; DRG0IYTPE; DRG0JAKJI; DRG0JUUAP; DRG0JYVFM; DRG0KCLDV; DRG0KWXIP	https://adcdb.idrblab.net/data/abt/details/TAR0GFSKS
TAR0OMOAR	Ephrin type-A receptor 3 (EPHA3)	ADC_TARGET	ETK; ETK1; HEK; TYRO4; EPH-like kinase 4;HEK;Tyrosine-protein kinase TYRO4;Tyrosine-protein kinase receptor ETK1	1		DRG0AXDIU	https://adcdb.idrblab.net/data/abt/details/TAR0OMOAR
TAR0IMOZN	Ephrin-A4 (EFNA4)	ADC_TARGET	EPLG4; LERK4; EPH-related receptor tyrosine kinase ligand 4	1		DRG0SHGPV	https://adcdb.idrblab.net/data/abt/details/TAR0IMOZN
TAR0YDDCJ	Epidermal growth factor receptor (EGFR); CD276 antigen (CD276)	ADC_TARGET		1	IBI-3001		https://adcdb.idrblab.net/data/abt/details/TAR0YDDCJ
