indication	n_adc_candidates
Recurrent Chronic Lymphocytic Leukemia	1
Recurrent Colon Carcinoma	1
Recurrent Colorectal Carcinoma	1
Recurrent Esophageal Carcinoma	1
Recurrent Gastric Carcinoma	1
Recurrent Glioma	1
Recurrent Head and Neck Carcinoma	1
Recurrent Hematologic Malignancy	1
Recurrent Liver Carcinoma	1
Recurrent Lung Carcinoma	1
Recurrent Lymphoma	1
Recurrent Malignant Solid Neoplasm	1
Recurrent Malignant Uterine Corpus Neoplasm	1
Recurrent Melanoma	1
Recurrent Myelodysplastic Syndrome	1
Recurrent Myelodysplastic/Myeloproliferative Neoplasm	1
Recurrent Myeloproliferative Neoplasm	1
Recurrent Non-Hodgkin Lymphoma	1
Recurrent Pancreatic Carcinoma	1
Recurrent Prostate Carcinoma	1
Recurrent Rectal Carcinoma	1
Recurrent Skin Carcinoma	1
Recurrent Thyroid Gland Carcinoma	1
Refractory Acute Myeloid Leukemia	1
Refractory Chronic Lymphocytic Leukemia	1
Refractory Chronic Myelomonocytic Leukemia	1
Refractory Hematologic Malignancy	1
Refractory Lymphoma	1
Refractory Myelodysplastic Syndrome	1
Refractory Myelodysplastic/Myeloproliferative Neoplasm	1
Refractory Primary Myelofibrosis	1
Skin Carcinoma	1
Stage II Breast Cancer AJCC v6 and v7	1
Stage II Pancreatic Cancer AJCC v8	1
Stage IIA Breast Cancer AJCC v6 and v7	1
Stage IIB Breast Cancer AJCC v6 and v7	1
Stage III Breast Cancer AJCC v7	1
Stage III Ovarian Cancer AJCC v8	1
Stage IIIA Breast Cancer AJCC v7	1
Stage IIIB Breast Cancer AJCC v7	1
Stage IIIC Breast Cancer AJCC v7	1
Stage IV Ovarian Cancer AJCC v8	1
Stage IV Prostate Cancer AJCC v8	1
Thyroid Gland Carcinoma	1
Acute Leukemias of Ambiguous Lineage	1
Acute Lymphocytic Leukemia	1
Adult Relapsed/Refractory B Cell Acute Lymphoblastic Leukemia	1
B Acute Lymphoblastic Leukemia	1
B Acute Lymphoblastic Leukemia With t(9;22)(q34.1;q11.2)	1
BCR-ABL1	1
B Acute Lymphoblastic Leukemia, Philadelphia Chromosome Negative	1
